id,text
1331528578786156544,RT @harakahdailyHD: UniMAP ungguli produk inovasi pandemik Covid https://t.co/y34D4w19Fp
1331500080965173249,@antshamz @SiTiZunnuraIN3 @syhrhyusri Syarat unimap mcm tuuu. Siapa balik kena quarantine 2 minggu dekt sana baru boleh duduk kolej asal
1331499164161609728,ANC tws IPX5 rated harga rm380. Hmm interesting 👀. Kalau unimap pulangkan yuran hostel aku beli dah
1331490793530519552,"@MichoacanNvda @anotartemx @TrabajoDignoMX @monapred @ConjuroTeatro  @CNTeatromx @UTEmexico #NoALaPrecarizaciónCultural
EL DÍA DE HOY
Rechazan la gestión de MOV. ESCENA, JALACABLES, UNIMAP.
#Novivimosdelaplauso https://t.co/U72AdGTtke https://t.co/7AOKp2MNSr"
1331490433038491650,"@AplausoNo @Asambleacultur1 @MOCCAMEXICO @RECIOcdmx  @LJalacables
@alartemx @teatroinbal @redmuseosINBAL 
#NoALaPrecarizaciónCultural
EL DÍA DE HOY
Rechazan la gestión de MOV. ESCENA, JALACABLES, UNIMAP.
#Novivimosdelaplauso https://t.co/U72AdGTtke"
1331489056589447168,RT @SkinCancerrr: This is SKIN CANCER AWARENESS for our assignment.Hope all of you can follow and rt all the post that will come soon.Also…
1331485322765430784,"@farhan_amri1997 Yg unimap pun ada , cer buat ahahaha"
1331475418499538944,"Punya la sedih .. dah duk 3 bulan kat unimap ni, ada sv je sbgai kawan😌"
1331458054286700545,UniMAP ungguli produk inovasi pandemik Covid https://t.co/y34D4w19Fp
1331423107404288005,Tamatkan jelah pkpb selangor ni kecuali klang tu ha. Aku nak balik unimap pantat aku ada lab
1331405885495668736,@HaiCrush94 Lecturer unimap aku tgok tgh seronok  wfh ada yg hari2 kayuh basikal. Bbq etc
1331399950987476993,"RT @zrjersey: Hi guys.

Kami masih ada stok player issue dan fans issue untuk jersi Chelsea Third Kit.

RM50 Fans issue
RM65 Player issue…"
1331300826309033984,"Hmm, please suruh unimap buat exam online, we have lots of stress here😭 https://t.co/kwG5kJy27B"
1331298420519124992,@syafabdul Hg dkt unimap ke adikk
1331287786674999296,@nurazlinjaffry Hahahaha another fun fact dia budak unimap main campus
1331254649576296448,@syifahaniff lik unimap dah tadi 😔☝🏻
1331249153184329730,Saya harap kawan kawan saya di unimap ok dah sihat shj. Sedih sbb depa tak dapat balik rumah memasing 😢
1331228131731021825,"RT @HFMDUnimap: HFMD begins with fever, feeling sick and poor appetite. In one to two days, ulcers may develop on mouth. Some patient has r…"
1331222305779826689,"Esok gaji, esok gaji,esok gaji😁Korang yang dalam kampus alam UniMAP iouls leh siyodi trussss ke tempat uols k😘
#readystock https://t.co/3dMyBl0sec"
1331205630049193984,@shafiqismaill Ada dia buat iv pik kat unimap hahah. Tapi bukan kos kita la
1331191935738920960,"faktor umur ni syaakirah ni 😂😂 eh tak2 sesejak kt unimap lagi2 final year tu, manjang pakai jaket je 😂"
1331183494270246912,"Postgraduate Opportunity (Master by Research) at Universiti Malaysia Perlis (UniMAP)
📌Project: Biopolymer-based Nanocomposites
📝 Project funded by Fundamental Research Grant Scheme (FRGS)
💰 Monthly allowance is provided
Potential students or further inquiries please contact: https://t.co/Jcm9PuWcfl"
1331173632475754496,"Hai youalls❤️❗
Tahu tak obesiti tu apa? 
Jom ikuti info info penting tentang obesiti!
 *Follow link² dekat bawah tauu* 
Facebook- https://t.co/TQM3jJ1VNi
Twitter- https://t.co/5LyYjWG0T1
Tiktok- https://t.co/hT0XOIuUX8
Instagram- https://t.co/ObIT2Omy8J
Ada games &amp; macam² soon😘"
1331171598393597953,"Team pengurusan sinaran mai bagi taklimat, tq PM, Doc sudi mai markaz kami
#coshe #unimap #coshecare https://t.co/BLPiwRYTLk"
1331150928485904385,"Hi guys.

Kami masih ada stok player issue dan fans issue untuk jersi Chelsea Third Kit.

RM50 Fans issue
RM65 Player issue

Yang penting #FREEPOSTAGE

Klik link untuk order https://t.co/6b1QO9Ddnd

@twt_um @twt_UMT @Twt_ParitBuntar @twt_UniMAP @twt_upsi @UTeM_twt @IIUMOnline https://t.co/iI6PsPojbj"
1331068782555529216,@ddmirea Gmbaq geng unimap tkdk ka
1331068761714126848,"Just posted a photo @ Kampus Tetap Unimap, Ulu Pauh, Perlis https://t.co/7ZjX1LQ26U"
1331053192801525761,"@mynamefarhana p tempah baju mcm jeket unimap, color pink. heheehewwww"
1331052836558290945,"Time pregnant kan firas, tk beli baju maternity sbb belajaq. So harihari p kelas pakai jaket unimap ja 😂. Skrg bila pregnant time kerja, pening nk pakai baju apa. Kang takot ketat sangat. Dah la kerja dikelilingi lelaki ja. Aigooooo"
1331024862391857152,@AminudinAnuar Hahaha...unimap ada buat pjj master x amin...aku ddk KL 😂
1330982482590584832,"MUHAMAD 'AMMAR AZRI BIN MUHAMAD NASHIR.
21 TAHUN
KULIM
UNIMAP"
1330912435356594176,"RT @hawakasim_: Hi everyone, we are from Faculty of Chemical Engineering Technology currently doing a research on Analysis of Unimap Studen…"
1330906829505798145,@twt_UniMAP @Unimapcnfession
1330906713306787841,"Hi everyone, we are from Faculty of Chemical Engineering Technology currently doing a research on Analysis of Unimap Students' BMI in 2020. Hopefully, you can help us by answering this survey. Your kindness is really appreciated. Thank you from us 🤗

https://t.co/eN3zzObSoC"
1330903218277163008,I rindu perfume2 i yg trtinggal dekat unimap.. anyone with pintu doraemon? i nk pinjam jap https://t.co/yKgFNgfUB4
1330878342292152320,@sofeamarzukhi Unimap? Batch ecah ke?
1330859575344390149,"pakai vc promote kelab ... boleh
pakai postmaster promote mask .. boleh
kami nak promote barang2 untuk kelab yg dijual oleh student ... xleh

UniMAP MANTAP!"
1330841368374099968,"Alhamdulillah, ada guest check in hari ni. Selamat datang Cik Nurul Hazwani dan rakan-rakan dari UNIMAP. Have a nice stay! #StayKation #KashawayLGK"
1330833297136488448,"@paiqfelix La bos saya pi ngn bdk unimap tu bos.
@mirzaadlii ni tnya dia"
1330831220893073409,@nuraimanyusop Boleh tahan jauh gak tu jalan hahaha. Alamak bos takda no guide ka? Saya student unimap takda pulak kawan2 org changlun 😂
1330827117869686784,@nhaniisofeaa Aduhhh dah tercalar unimap 😂😂
1330803938400948224,RT @MoshiMotots: Haa geng2 unimap jom serbu tempat ni 🤣🤣
